object_id,ra,dec,key,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W
8d37m24pt36688605s2d25m06pt32494849s,8.62343524612455,2.4184235968031413,macs0034p02a,0.012272144174075702,0.0014259688421259728,0.002771824846368991,0.3182702018504744,0.0038737435391468077
8d37m10pt15434495s2d25m24pt52506028s,8.619487318043038,2.423479183410281,macs0034p02a,0.05173864887882384,0.003932254483353445,0.007431594561927668,0.7121954394264097,0.012110836942573415
8d44m29pt97104791s2d34m00pt39179231s,8.741658624419124,2.5667754978644983,macs0034p02b,0.003511154998155762,0.0012433822383241865,0.0026827357246276117,0.2547881566115652,0.005502919105321459
8d44m08pt54961201s2d33m49pt19173596s,8.735708225557154,2.563664371100013,macs0034p02b,0.006211918120596457,0.0007534397530468375,0.001502317497458384,0.13652580836266598,0.002818188034885442
8d43m55pt93713655s2d33m29pt99165659s,8.732204760152287,2.5583310157194243,macs0034p02b,0.05336148495381107,0.0026148957134026034,0.004365058311705414,0.36477128835140954,0.004077234612267057
8d43m58pt33951374s2d33m32pt39167439s,8.73287208715128,2.5589976873294926,macs0034p02b,0.056569462520994075,0.002783443091152983,0.004786215684929505,0.3586574554996101,0.004823120731170716
12d54m12pt50705881s27d19m41pt07114923s,12.903474183002112,27.328075319230518,macs0051p27,0.008203833285406742,-0.0003793667781324875,-0.0006320532324828257,-0.044793294801620476,-0.0011048280817400342
12d54m57pt08270016s27d19m55pt67132128s,12.915856305599698,27.332130922578326,macs0051p27,-0.024866635812712326,-0.0002949477750146335,-0.0002262281507205544,0.001291541742859927,0.00043060258551157904
12d54m34pt1191408s27d19m39pt47172348s,12.909477539110501,27.32763103430021,macs0051p27,-0.01077258322580216,-0.00033063975311399665,-0.0004633190697358662,-0.07789656036065515,-0.00036151850033694404
17d52m26pt11573256s8d55m40pt5527223s,17.873921036823326,8.927931311749049,macs0111p08,-0.009109290766651039,-0.00025941657389684,-0.00041088505138904064,-0.04615766567576939,-0.000771410782143241
17d53m07pt61874487s8d56m05pt75307645s,17.885449651352566,8.934931410123806,macs0111p08,-0.00978751918959347,5.029000535691166e-05,0.00030804564469572184,0.057608357854317456,0.0008320179167610156
24d30m55pt80557939s-21d55m31pt49246619s,24.515501549831114,-21.925414573940934,macs0138m21,1.2626123520452972,0.032381606535442906,0.06208122577122611,6.497520487428622,0.11817796001398326
24d30m59pt90139654s-21d55m09pt49240601s,24.51663927681674,-21.919303446115237,macs0138m21,0.00010588419235782996,-6.772108791715558e-06,9.781158477433625e-06,-0.02513581218962016,3.073123970711818e-05
24d31m02pt27310359s-21d55m20pt2923582s,24.517298084329358,-21.922303432833232,macs0138m21,0.12643408619260452,0.003684459434020781,0.005359525564218713,0.3885975854541055,0.005773573317520738
24d30m35pt75502313s-21d55m44pt49235452s,24.50993195086999,-21.929025654033342,macs0138m21,1.0082941576874522,0.04246751958862773,0.07038691651920469,5.884738555616332,0.07935210748329316
24d30m37pt04859018s-21d55m45pt69238209s,24.51029127504925,-21.929358995024447,macs0138m21,0.822640805872795,0.03655556793814532,0.061442816963394195,5.187930415971576,0.0709399246256145
24d30m57pt53061573s-21d55m48pt89244417s,24.5159807265927,-21.93024790115726,macs0138m21,0.051082638501065744,0.002332395976677187,0.004070733805652478,0.6937680175068862,0.006778839859187375
24d31m00pt33295145s-21d55m27pt09239796s,24.516759153179958,-21.924192332766825,macs0138m21,0.2212305837150178,0.011384825147995398,0.02050295483615665,1.9389217300723516,0.030398470168928875
24d30m58pt17739765s-21d55m47pt69243466s,24.516160388235388,-21.929914565184216,macs0138m21,0.03283730160017449,0.0016296533806069529,0.002863060529434169,0.5931651916710523,0.004236845081443946
24d30m53pt43392294s-21d55m16pt69248821s,24.514842756371863,-21.921303468945958,macs0138m21,-0.0047937343628917176,-0.00039961706235171256,-0.0007508879709563224,-0.07703723598674077,-0.0012890824266464295
25d00m17pt15509315s-5d55m07pt39686965s,25.004765303652032,-5.918721352679324,macs0140m05,0.07483640149308915,0.0037912889967043734,0.006779213779865521,0.6149362883085543,0.009656482826772212
25d01m39pt35696146s-34d10m31pt20016587s,25.02759915596234,-34.175333379408116,macs0140m34,-0.01362058584227952,-0.0004598705444179249,-0.0007530807529755857,-0.04739618205540325,-0.0008033039092775222
25d01m36pt45600265s-34d10m26pt6001902s,25.026793334068856,-34.17405560838989,macs0140m34,0.0002650317289931948,-0.0003526572259651386,-0.0006429810281336905,-0.05861786927568077,-0.0008680025175837554
28d07m52pt64210062s-28d53m03pt97154321s,28.13128947239406,-28.884436539781305,macs0152m28,-0.019503506190790658,-0.0008817865761410424,-0.0015182099387822856,-0.17260824477786452,-0.0024281894484693505
28d07m06pt27061441s-28d53m28pt16925471s,28.11840850400225,-28.891158126309538,macs0152m28,0.0017614918666435794,0.0002683229868155118,0.0004811713565841443,0.04003655220831284,0.0006049504853193319
28d07m28pt65921543s-28d52m52pt17091043s,28.124627559841763,-28.881158586229237,macs0152m28,-0.014949957961207483,-0.00034955902318209735,-0.0005497300619768533,-0.07319605244209537,-0.0012744417867508356
29d46m00pt19654s-34d13m31pt49453773s,29.766721261111446,-34.225415149368395,macs0159m34,-0.00023035521741884013,1.8897936638017287e-05,0.00020511407838686848,-0.006791843925095481,0.000463932529907164
34d19m31pt98968793s-52d45m42pt50028208s,34.32555269109046,-52.761805633911635,macs0217m52,0.05763565795824892,0.0016245133375213864,0.0023568858837093847,0.15327384442180736,0.003740887961073039
34d18m39pt1087464s-52d45m32pt50304245s,34.310863540665665,-52.75902862290355,macs0217m52,0.023983198223606655,0.001776756739730486,0.003630130889098822,0.3310714354762262,0.007566076823768655
34d18m15pt97052766s-52d45m56pt5021961s,34.3044362576841,-52.76569505447286,macs0217m52,0.1546063051991917,0.009500279147621419,0.017689777974186333,1.6040718559221807,0.027334380796951073
34d34m55pt73093721s-31d41m56pt42873486s,34.58214748255707,-31.699007981905503,rxj0218m31,0.005970706756839637,9.786980742583055e-05,9.14310790152559e-05,-0.029235251702911875,-0.00020355695763619083
34d34m31pt75522611s-31d41m36pt42835792s,34.57548756280794,-31.69345232164579,rxj0218m31,0.14217424961511385,0.011367936765712664,0.021704130782058864,1.869611264513269,0.03694846646320088
34d34m43pt74198831s-31d42m20pt22870196s,34.578817218975026,-31.705619083879018,rxj0218m31,0.01707632761107303,0.0006493543060139387,0.0010960927568344496,0.07394837039758148,0.0012120782006838796
38d04m43pt56908128s-44d20m30pt25594442s,38.07876918924535,-44.34173776233986,rxj0232m44,-0.043555848243893226,-0.00034257499324917643,7.371830924566446e-05,0.05993534271741925,0.0006852165600323635
38d04m51pt11588217s-44d21m05pt45641969s,38.08086552282515,-44.35151567213619,rxj0232m44,-0.008829288574481547,-0.0006034892924809025,-0.0009616931167746456,-0.04297829054386223,-0.001499545512998536
38d04m52pt23490236s-44d21m03pt05647846s,38.08117636176589,-44.350849021793245,rxj0232m44,-0.013624112538662915,-0.0006153014917854286,-0.0009407946063200834,-0.1532232020777624,-0.0014632426609825736
38d04m38pt81394627s-44d20m37pt055574s,38.077448318407335,-44.34362654833203,rxj0232m44,-0.007390454416350147,-0.00025194610854942066,-0.00046556027596713256,-0.03887791428115878,-0.0007556134606050728
38d04m57pt55184527s-44d20m25pt65671619s,38.08265329035348,-44.34046019894167,rxj0232m44,0.1366462155170436,0.004894207723484818,0.008006863249629367,0.6916992598723797,0.010070738557336215
38d04m12pt5165831s-44d21m10pt25253581s,38.07014349530422,-44.35284792661314,rxj0232m44,-0.007711625028431131,0.0003109506553364556,0.0005642461537847164,0.029772666858045534,9.088673500732764e-05
