z, sfr
0.8898457048961252, 1.3442298721895698
0.9062229404024081, 1.2552290325590074
0.8829252660789407, 1.117865472525422
0.8711502928402435, 1.035656311223062
0.8711502928402435, 1.035656311223062
0.8478253458514866, 1.1311129769568056
0.8478253458514866, 1.1311129769568056
0.8376049145342851, 1.0490157663961193
0.8381980950043295, 1.2777684485493048
0.8381980950043295, 1.2777684485493048
0.8349731023338582, 1.1941785614329694
0.8646525803350447, 1.2641850918929003
