object_id,ra,dec,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W
91d28m58pt16999931s-35d17m42pt95100288s,91.4828249998071,-35.29526416746644,0.0,0.0,0.0,0.0,0.0
91d28m53pt02331169s-35d17m59pt55086774s,91.48139536435897,-35.299875241038585,0.0,0.0,0.0,0.0,0.0
91d28m44pt69130426s-35d18m00pt75052166s,91.47908091784922,-35.30020847823766,0.0,0.0,0.0,0.0,0.0
91d28m43pt71113891s-35d17m59pt95047053s,91.47880864969667,-35.29998624181484,0.0,0.0,0.0,0.0,0.0
91d28m43pt71105887s-35d18m00pt9504705s,91.47880862746408,-35.30026401958398,0.0,0.0,0.0,0.0,0.0
91d28m32pt43779589s-35d18m06pt14972423s,91.47567716552496,-35.301708256729235,0.0,0.0,0.0,0.0,0.0
91d28m04pt50211571s-35d17m59pt74662321s,91.46791725436461,-35.29992961755859,0.0,0.0,0.0,0.0,0.0
91d28m28pt02579828s-35d18m12pt74935296s,91.47445161063362,-35.3035414869335,0.0,0.0,0.0,0.0,0.0
91d28m26pt55567156s-35d18m10pt74921944s,91.47404324209927,-35.30298589428815,0.0,0.0,0.0,0.0,0.0
91d28m28pt76168372s-35d18m07pt54941805s,91.47465602325526,-35.302097060569714,0.0,0.0,0.0,0.0,0.0
99d19m52pt384047s-48d28m52pt49613389s,99.33121779083456,-48.48124892608089,0.0,0.0,0.0,0.0,0.0
42d00m25pt11764436s-3d32m09pt88493573s,42.006977123434105,-3.5360791488145193,0.0,0.0,0.0,0.0,0.0
42d01m09pt00113333s-3d31m54pt88505542s,42.019166981481916,-3.5319125153940685,0.0,0.0,0.0,0.0,0.0
73d33m13pt45421257s2d57m13pt64663919s,73.55373728126835,2.9537907331076263,0.0,0.0,0.0,0.0,0.0
38d39m53pt86576804s-58d31m03pt44572608s,38.66496271334575,-58.51762381279874,0.0,0.0,0.0,0.0,0.0
38d39m44pt64316779s-58d31m52pt44420975s,38.66240087994077,-58.531234502708934,0.0,0.0,0.0,0.0,0.0
38d41m16pt20401233s-58d31m03pt85113782s,38.68783444786991,-58.517736427171705,0.0,0.0,0.0,0.0,0.0
38d39m56pt52055987s-58d31m51pt04612994s,38.665700155519254,-58.53084614720596,0.0,0.0,0.0,0.0,0.0
40d38m59pt87142409s-21d32m25pt96496864s,40.64996428446892,-21.54054582462238,0.0,0.0,0.0,0.0,0.0
40d38m58pt36630444s-21d32m23pt56496996s,40.64954619567878,-21.539879158321842,0.0,0.0,0.0,0.0,0.0
40d38m55pt57108047s-21d32m25pt76496246s,40.64876974457417,-21.540490267348623,0.0,0.0,0.0,0.0,0.0
44d16m49pt4645361s-23d26m27pt69314013s,44.2804068155829,-23.441025872258386,0.0,0.0,0.0,0.0,0.0
47d13m45pt18308447s26d45m29pt90595372s,47.22921752346435,26.7583072093658,0.0,0.0,0.0,0.0,0.0
51d42m11pt67972359s-0d44m11pt90717545s,51.70324436766274,-0.7366408820690522,0.0,0.0,0.0,0.0,0.0
59d42m42pt61298438s-29d55m42pt69872441s,59.71183694010491,-29.928527423446457,0.0,0.0,0.0,0.0,0.0
61d04m16pt35854086s-27d02m41pt28837823s,61.071210705793774,-27.044802327285677,0.0,0.0,0.0,0.0,0.0
61d04m18pt82674285s-27d03m14pt28849662s,61.071896317457764,-27.05396902683838,0.0,0.0,0.0,0.0,0.0
61d04m21pt74797642s-27d02m38pt88862205s,61.072707771228536,-27.044135728346195,0.0,0.0,0.0,0.0,0.0
61d05m07pt33321354s-27d02m53pt08840245s,61.08537033709344,-27.048080111791975,0.0,0.0,0.0,0.0,0.0
61d08m20pt40057355s11d08m22pt22578941s,61.1390001593194,11.139507163725204,0.0,0.0,0.0,0.0,0.0
61d08m12pt85847736s11d08m18pt02581718s,61.13690513260126,11.138340504772234,0.0,0.0,0.0,0.0,0.0
61d08m01pt44341502s11d08m22pt22575939s,61.133734281950744,11.139507155386976,0.0,0.0,0.0,0.0,0.0
61d29m15pt98421158s-49d16m19pt74235927s,61.48777339210681,-49.27215065535313,0.0,0.0,0.0,0.0,0.0
72d20m32pt54167568s-28d49m36pt65181981s,72.3423726876891,-28.82684772772523,0.0,0.0,0.0,0.0,0.0
72d20m18pt38846883s-28d49m09pt05173514s,72.33844124134221,-28.819181037538637,0.0,0.0,0.0,0.0,0.0
72d20m10pt1706933s-28d49m08pt25149738s,72.33615852591643,-28.81895874927227,0.0,0.0,0.0,0.0,0.0
72d19m49pt17085008s-28d48m56pt85026178s,72.33032523613272,-28.81579173938281,0.0,0.0,0.0,0.0,0.0
72d20m20pt67173166s-28d48m43pt05177671s,72.33907548101662,-28.811958826863776,0.0,0.0,0.0,0.0,0.0
73d49m33pt22917319s6d57m52pt30004305s,73.82589699255209,6.96452778973635,0.0,0.0,0.0,0.0,0.0
82d26m16pt12654003s-31d44m51pt16420157s,82.4378129277858,-31.7475456115466,0.0,0.0,0.0,0.0,0.0
82d26m49pt05349642s-31d44m54pt96351295s,82.44695930456052,-31.748600975820526,0.0,0.0,0.0,0.0,0.0
82d26m49pt75914006s-31d44m55pt76347245s,82.44715531668409,-31.74882318679089,0.0,0.0,0.0,0.0,0.0
82d26m13pt77483403s-31d44m43pt96416086s,82.43715967611888,-31.745545600239403,0.0,0.0,0.0,0.0,0.0
82d26m16pt83227649s-31d44m42pt16421161s,82.43800896569063,-31.74504561433614,0.0,0.0,0.0,0.0,0.0
82d26m15pt89151056s-31d44m43pt56419814s,82.43774764182179,-31.745434499482755,0.0,0.0,0.0,0.0,0.0
82d26m12pt36229889s-31d45m28pt76413035s,82.43676730524597,-31.75799003620873,0.0,0.0,0.0,0.0,0.0
86d45m43pt80905047s-39d04m29pt53186516s,86.76216918068606,-39.07486996254395,0.0,0.0,0.0,0.0,0.0
86d45m47pt4153666s-39d04m25pt13166807s,86.76317093516602,-39.07364768557408,0.0,0.0,0.0,0.0,0.0
86d46m00pt55633295s-39d04m40pt73068874s,86.76682120359628,-39.07798074687324,0.0,0.0,0.0,0.0,0.0
86d46m01pt84293669s-39d04m30pt5305709s,86.76717859352586,-39.07514738080678,0.0,0.0,0.0,0.0,0.0
86d45m44pt32479652s-39d04m35pt33183885s,86.76231244347804,-39.07648106634725,0.0,0.0,0.0,0.0,0.0
86d45m26pt03284796s-39d04m22pt53238582s,86.75723134665522,-39.0729256627271,0.0,0.0,0.0,0.0,0.0
88d21m52pt47042617s-33d42m43pt39125989s,88.36457511838123,-33.71205312774827,0.0,0.0,0.0,0.0,0.0
88d21m08pt23096203s-33d42m11pt39349775s,88.35228637834102,-33.703164860484925,0.0,0.0,0.0,0.0,0.0
88d21m54pt38932442s-33d42m13pt19106439s,88.36510814567254,-33.70366418455411,0.0,0.0,0.0,0.0,0.0
88d20m09pt74633861s-33d42m54pt2999808s,88.33604064961483,-33.71508332800021,0.0,0.0,0.0,0.0,0.0
88d19m48pt8284935s-33d42m42pt89990813s,88.33023013708375,-33.71191664114773,0.0,0.0,0.0,0.0,0.0
88d19m51pt9540592s-33d42m44pt29998123s,88.33109834977691,-33.71230555034175,0.0,0.0,0.0,0.0,0.0
88d20m26pt81459385s-33d42m18pt69931468s,88.34078183162464,-33.705194254078826,0.0,0.0,0.0,0.0,0.0
90d02m09pt29683101s-20d08m25pt42075551s,90.03591578639167,-20.14039465430772,0.0,0.0,0.0,0.0,0.0
