I,ID,X_PEAK_SN,Y_PEAK_SN,Z_PEAK_SN,DETSN_MAX,Identification,Short,Comment,Redshift,Quality,Confidence,Association,key,cluster,zcluster,dir
4937,205,238.0,151.0,3211.0,35.32944869995117,OII,O2,-,1.3502,a,3,-,macs0553m33a,MACSJ0553.4-3342A,nan,cubes_new
7368,206,293.0,149.0,2997.0,21.123870849609375,Lya,Lya,-,5.99097,c,0,-,macs0111p08,MACSJ0111.5+0855,0.4854,cubes
7369,207,88.0,275.0,3004.0,43.19940185546875,Lya,Lya,-,5.99817,c,0,-,macs0111p08,MACSJ0111.5+0855,0.4854,cubes
5721,208,201.0,129.0,3304.0,12.432435989379883,Ha,Ha,-,0.35309,c,0,-,macs0034p02a,MACS0034.4+0225,0.382,cubes
7052,209,53.0,231.0,3021.0,29.40757179260254,Ha,Ha,-,0.29921,c,0,-,macs0529m31,MACSJ0529.7-3145,nan,cubes_new
7055,210,50.0,227.0,1253.0,8.772258758544922,Hb,Hb,-,0.29933,c,0,-,macs0529m31,MACSJ0529.7-3145,nan,cubes_new
7533,211,180.0,109.0,2719.0,11.8392915725708,OII,O2,-,1.18536,a,3,-,rbs653,RBS653,0.2839,cubes_new
8322,212,282.0,276.0,2623.0,51.80884552001953,Lya,Lya,-,5.60594,c,0,-,macs0404m27,MACS0404.2-2703,nan,cubes_new
4947,213,57.0,227.0,3260.0,22.905107498168945,Lya,Lya,-,6.2612,c,0,-,macs0553m33a,MACSJ0553.4-3342A,nan,cubes_new
7416,214,131.0,198.0,3462.0,20.20786476135254,OIII 2,O3_2,-,0.81303,c,0,-,macs0027p26a,MACS0027.2+2607,nan,cubes
7417,215,137.0,204.0,3463.0,8.26536750793457,OIII 2,O3_2,-,0.81328,c,0,-,macs0027p26a,MACS0027.2+2607,nan,cubes
9352,216,294.0,179.0,1243.0,8.276711463928223,Lya,Lya,-,4.18664,c,0,-,z2089,Zw2089,nan,cubes_new
7810,217,249.0,242.0,3062.0,12.495677947998047,OII,O2,-,1.3002,a,3,-,macs0257m23,MACSJ0257.1-2325,0.5049,cubes_new
8246,218,196.0,216.0,2421.0,13.299121856689453,OIII 2,O3_2,-,0.55305,c,0,-,macs0152m28,MACSJ0152.5-2853,nan,cubes
5732,219,48.0,77.0,3460.0,17.000179290771484,Ha,Ha,-,0.3828,c,0,-,macs0034p02a,MACS0034.4+0225,0.382,cubes
5736,220,119.0,168.0,3487.0,14.03973388671875,Ha,Ha,-,0.38794,c,0,-,macs0034p02a,MACS0034.4+0225,0.382,cubes
7600,221,232.0,113.0,2922.0,11.10877513885498,Lya,Lya,-,5.91367,c,0,-,macs0308p26,MACSJ0308.9+2645,0.356,cubes_new
4068,223,299.0,208.0,3173.0,17.237831115722656,Ha,Ha,-,0.32809,a,3,-,macs0600m20,MACSJ0600.1-2008,0.46,cubes_new
6555,224,165.0,72.0,3073.0,8.339631080627441,Ha,Ha,-,0.3091,c,0,-,macs0138m21,MACS0138.0-2155,0.338,cubes
6556,225,187.0,227.0,3192.0,8.830865859985352,Ha,Ha,-,0.33177,c,0,-,macs0138m21,MACS0138.0-2155,0.338,cubes
7559,226,176.0,174.0,2961.0,14.122308731079102,NII 2,N2_2,-,0.28373,c,0,-,rbs653,RBS653,0.2839,cubes_new
8264,227,74.0,112.0,3409.0,11.487916946411133,Ha,Ha,-,0.37305,a,3,-,a383,A383,0.19,cubes_new
3381,228,260.0,248.0,3128.0,18.457727432250977,OII,O2,-,1.32238,a,3,-,macs0611m30,MACSJ0611.8-3036,nan,cubes_new
8324,229,166.0,160.0,2212.0,29.13361930847168,NII 2,N2_2,-,0.14145,a,3,-,a3378,A3378,0.1356,cubes_new
5858,230,273.0,267.0,3440.0,24.862960815429688,Lya,Lya,-,6.44632,c,0,-,macs0238m53,SMACSJ0234.7-5831,0.415,cubes_new
5859,231,266.0,29.0,3584.0,13.96654224395752,Ha,Ha,-,0.40638,c,0,-,macs0238m53,SMACSJ0234.7-5831,0.415,cubes_new
10250,232,192.0,245.0,2578.0,27.33587074279785,Ha,Ha,-,0.21473,a,3,-,macs0404p11,MACSJ0404.6+1109,0.3548,cubes_new
7089,233,203.0,286.0,2482.0,19.811542510986328,Ha,Ha,-,0.19655,a,3,-,macs0529m31,MACSJ0529.7-3145,nan,cubes_new
7618,234,88.0,152.0,2986.0,9.001477241516113,OII,O2,-,1.27481,c,0,-,macs0308p26,MACSJ0308.9+2645,0.356,cubes_new
11681,235,290.0,178.0,2132.0,13.823927879333496,OII,O2,-,0.98843,a,3,-,rxj0439p07,RXCJ0439.0+0716,nan,cubes_new
7103,236,190.0,295.0,2503.0,9.415870666503906,NII 2,N2_2,-,0.19678,a,3,-,macs0529m31,MACSJ0529.7-3145,nan,cubes_new
9390,237,245.0,206.0,1294.0,11.906965255737305,Lya,Lya,-,4.23909,c,0,-,z2089,Zw2089,nan,cubes_new
9369,238,284.0,270.0,2483.0,9.282159805297852,Lya,Lya,-,5.46226,c,0,-,macs0032p18,MACS0032.1+1808,0.3892,cubes
7108,240,194.0,288.0,2502.0,9.275485038757324,NII 2,N2_2,-,0.19659,c,0,-,macs0529m31,MACSJ0529.7-3145,nan,cubes_new
6719,241,259.0,255.0,3279.0,12.099188804626465,OIII 2,O3_2,-,0.76734,c,0,-,macs0358m29,MACSJ0358.8-2955,0.425,cubes_new
7578,242,204.0,304.0,3109.0,9.817716598510742,Lya,Lya,-,6.10616,c,0,-,rbs653,RBS653,0.2839,cubes_new
8402,243,271.0,111.0,2922.0,10.316815376281738,Ha,Ha,-,0.28027,c,0,-,macs0404m27,MACS0404.2-2703,nan,cubes_new
9108,246,215.0,211.0,3188.0,9.741183280944824,Lya,Lya,-,6.18735,c,0,-,macs0034p02b,MACS0034.9+0234,0.38429,cubes
9407,247,264.0,222.0,1876.0,9.173638343811035,Ha,Ha,-,0.08105,c,0,-,z2089,Zw2089,nan,cubes_new
9408,248,262.0,245.0,1877.0,10.07020378112793,Ha,Ha,-,0.08124,c,0,-,z2089,Zw2089,nan,cubes_new
9409,249,254.0,248.0,1877.0,8.544206619262695,Ha,Ha,-,0.08124,c,0,-,z2089,Zw2089,nan,cubes_new
9414,251,242.0,252.0,1879.0,9.175813674926758,Ha,Ha,-,0.08163,a,3,-,z2089,Zw2089,nan,cubes_new
9416,252,246.0,263.0,1879.0,8.462374687194824,Ha,Ha,-,0.08163,a,3,-,z2089,Zw2089,nan,cubes_new
9418,253,100.0,35.0,1892.0,8.661521911621094,Lya,Lya,-,4.85414,c,0,-,z2089,Zw2089,nan,cubes_new
9420,255,201.0,245.0,1998.0,29.98273277282715,Lya,Lya,-,4.96316,c,0,-,z2089,Zw2089,nan,cubes_new
11775,258,228.0,273.0,2410.0,30.367578506469727,Lya,Lya,-,5.38677,c,0,-,rxj0439p07,RXCJ0439.0+0716,nan,cubes_new
9401,259,143.0,293.0,2602.0,9.611658096313477,Ha,Ha,-,0.21938,c,0,-,macs0032p18,MACS0032.1+1808,0.3892,cubes
9239,260,288.0,103.0,3222.0,12.847779273986816,Lya,Lya,-,6.22202,a,3,-,macs0027p26b,MACSJ0027.8+2616,nan,cubes
8450,264,237.0,126.0,2947.0,8.113829612731934,MgII 1,Mg2_1,-,2.0167,c,0,-,macs0404m27,MACS0404.2-2703,nan,cubes_new
9250,267,211.0,70.0,3304.0,9.275323867797852,Lya,Lya,-,6.30636,c,0,-,macs0027p26b,MACSJ0027.8+2616,nan,cubes
7147,268,209.0,62.0,3014.0,8.594924926757812,Ha,Ha,-,0.29788,c,0,-,macs0529m31,MACSJ0529.7-3145,nan,cubes_new
10384,270,248.0,266.0,2960.0,17.506935119628906,OIII 2,O3_2,-,0.68759,c,0,-,macs0404p11,MACSJ0404.6+1109,0.3548,cubes_new
10380,275,212.0,25.0,3366.0,20.44072723388672,Lya,Lya,-,6.37066,c,0,-,s780,Abell S780,0.2357,cubes
10385,276,192.0,259.0,3404.0,14.765966415405273,Lya,Lya,-,6.40974,c,0,-,s780,Abell S780,0.2357,cubes
9155,277,278.0,115.0,3503.0,8.66447925567627,Ha,Ha,-,0.39099,c,0,-,macs0034p02b,MACS0034.9+0234,0.38429,cubes
9156,278,266.0,127.0,3507.0,8.092580795288086,Ha,Ha,-,0.39175,c,0,-,macs0034p02b,MACS0034.9+0234,0.38429,cubes
9478,279,180.0,141.0,2709.0,8.798736572265625,NII 2,N2_2,-,0.23582,a,3,-,z2089,Zw2089,nan,cubes_new
9488,284,149.0,211.0,2459.0,38.61345291137695,Lya,Lya,-,5.43731,a,3,-,z2089,Zw2089,nan,cubes_new
9493,288,225.0,102.0,2484.0,27.7471981048584,Lya,Lya,-,5.46302,c,0,-,z2089,Zw2089,nan,cubes_new
7175,292,211.0,172.0,3427.0,29.008852005004883,OIII 2,O3_2,-,0.80431,a,3,-,macs0529m31,MACSJ0529.7-3145,nan,cubes_new
8513,293,258.0,288.0,3042.0,17.763681411743164,Ha,Ha,-,0.30313,c,0,-,macs0404m27,MACS0404.2-2703,nan,cubes_new
8518,295,55.0,217.0,3076.0,8.090957641601562,Ha,Ha,-,0.30961,c,0,-,macs0404m27,MACS0404.2-2703,nan,cubes_new
9559,319,163.0,178.0,2687.0,8.12627124786377,Ha,Ha,-,0.23552,c,0,-,z2089,Zw2089,nan,cubes_new
9562,320,185.0,149.0,2710.0,9.924641609191895,NII 2,N2_2,-,0.23601,a,3,-,z2089,Zw2089,nan,cubes_new
8563,326,280.0,192.0,1592.0,10.926533699035645,OIII 2,O3_2,-,0.3461,c,0,-,a3378,A3378,0.1356,cubes_new
8579,333,34.0,178.0,1849.0,9.473869323730469,OII,O2,-,0.89361,c,0,-,a3378,A3378,0.1356,cubes_new
8582,336,82.0,193.0,2021.0,27.042062759399414,Lya,Lya,-,4.9868,c,0,-,a3378,A3378,0.1356,cubes_new
8627,361,116.0,187.0,2083.0,14.387253761291504,Lya,Lya,-,5.05057,c,0,-,a3378,A3378,0.1356,cubes_new
8628,362,120.0,191.0,2077.0,8.6760892868042,Lya,Lya,-,5.0444,c,0,-,a3378,A3378,0.1356,cubes_new
8629,363,120.0,186.0,2078.0,8.487863540649414,Lya,Lya,-,5.04543,c,0,-,a3378,A3378,0.1356,cubes_new
8645,373,184.0,127.0,2194.0,8.04310417175293,Ha,Ha,-,0.14162,c,0,-,a3378,A3378,0.1356,cubes_new
8651,375,190.0,137.0,2213.0,9.252212524414062,NII 2,N2_2,-,0.14164,c,0,-,a3378,A3378,0.1356,cubes_new
8654,376,181.0,153.0,2216.0,8.686134338378906,NII 2,N2_2,-,0.14221,a,3,-,a3378,A3378,0.1356,cubes_new
